match_id,team_id,team_name,opponent_id,opponent_name,starting_11_players,team_xg
122853,32,Borussia Mönchengladbach,41,Bayer 04 Leverkusen,"['Julian Weigl', 'Marvin Friedrich', 'Alassane Pléa', 'Maximilian Wöber', 'Florian Neuhaus', 'Ko Itakura', 'Franck Honorat', 'Tomas Cvancara', 'Jonas Omlin', 'Nathan Ngoumou', 'Joe Scally']",1.0957199999999998
122853,41,Bayer 04 Leverkusen,32,Borussia Mönchengladbach,"['Granit Xhaka', 'Jonathan Tah', 'Lukas Hradecky', 'Jonas Hofmann', 'Alejandro Grimaldo', 'Exequiel Palacios', 'Jeremie Frimpong', 'Odilon Kossounou', 'Edmond Tapsoba', 'Florian Wirtz', 'Victor Boniface']",3.5017099999999997
122854,35,Eintracht Frankfurt,42,1. FSV Mainz 05,"['Mario Götze', 'Kevin Trapp', 'Philipp Max', 'Ellyes Skhiri', 'Kristijan Jakic', 'Robin Koch', 'Randal Kolo Muani', 'Hrvoje Smolcic', 'Ansgar Knauff', 'Willian Pacho', 'Omar Marmoush']",0.74065
122854,42,1. FSV Mainz 05,35,Eintracht Frankfurt,"['Dominik Kohr', 'Robin Zentner', 'Maxim Leitsch', 'Edimilson Fernandes', 'Phillipp Mwene', 'Jae-sung Lee', 'Leandro Barreiro', 'Anthony Caci', 'Sepp van den Berg', 'Anton Stach', 'Nelson Weiper']",1.52111
122855,33,FC Bayern München,39,FC Augsburg,"['Joshua Kimmich', 'Leroy Sané', 'Harry Kane', 'Kingsley Coman', 'Leon Goretzka', 'Sven Ulreich', 'Serge Gnabry', 'Dayot Upamecano', 'Noussair Mazraoui', 'Alphonso Davies', 'Min-jae Kim']",2.6473
122855,39,FC Augsburg,33,FC Bayern München,"['Niklas Dorsch', 'Finn Dahmen', 'Mergim Berisha', 'Elvis Rexhbecaj', 'Felix Uduokhai', 'Sven Michel', 'Mads Pedersen', 'Ermedin Demirovic', 'Rubén Vargas', 'Maximilian Bauer', 'Arne Engels']",1.00936
122856,29,Borussia Dortmund,432,1. FC Heidenheim 1846,"['Emre Can', 'Marcel Sabitzer', 'Julian Brandt', 'Gregor Kobel', 'Niklas Süle', 'Marius Wolf', 'Ramy Bensebaini', 'Donyell Malen', 'Sébastien Haller', 'Nico Schlotterbeck', 'Karim Adeyemi']",3.0607699999999998
122856,432,1. FC Heidenheim 1846,29,Borussia Dortmund,"['Niklas Beste', 'Norman Theuerkauf', 'Kevin Müller', 'Denis Thomalla', 'Tim Kleindienst', 'Lennard Maloney', 'Patrick Mainka', 'Adrian Beck', 'Omar Traoré', 'Eren Dinkçi', 'Tim Siersleben']",1.88507
122857,36,SV Darmstadt 98,41,Bayer 04 Leverkusen,"['Fabian Holland', 'Bartol Franjic', 'Thomas Isherwood', 'Christoph Klarer', 'Marcel Schuhen', 'Marvin Mehlem', 'Matthias Bader', 'Christoph Zimmermann', 'Luca Pfeiffer', 'Fabian Nürnberger', 'Oscar Vilhelmsson']",0.38704
122857,41,Bayer 04 Leverkusen,36,SV Darmstadt 98,"['Granit Xhaka', 'Jonathan Tah', 'Lukas Hradecky', 'Jonas Hofmann', 'Alejandro Grimaldo', 'Exequiel Palacios', 'Jeremie Frimpong', 'Odilon Kossounou', 'Edmond Tapsoba', 'Florian Wirtz', 'Victor Boniface']",3.1886099999999993
122858,30,VfL Wolfsburg,31,TSG 1899 Hoffenheim,"['Koen Casteels', 'Maximilian Arnold', 'Jonas Wind', 'Rogério', 'Mattias Svanberg', 'Vaclav Cerny', 'Joakim Maehle', 'Lovro Majer', 'Maxence Lacroix', 'Cédric Zesiger', 'Tiago Tomás']",1.13602
